sampleID,fastq_R1,fastq_R2,SRR
Vis_yPAP_1A,/workdir/dwm269/totalRNA/data/fastq/bcl2fastq-MiniSeq-Vis_yPAP1/Vis_yPAP1/Vis_yPAP_1A_S1_L001_R1_001.fastq.gz,/workdir/dwm269/totalRNA/data/fastq/bcl2fastq-MiniSeq-Vis_yPAP1/Vis_yPAP1/Vis_yPAP_1A_S1_L001_R2_001.fastq.gz,
Vis_yPAP_1B,/workdir/dwm269/totalRNA/data/fastq/bcl2fastq-MiniSeq-Vis_yPAP1/Vis_yPAP1/Vis_yPAP_1B_S2_L001_R1_001.fastq.gz,/workdir/dwm269/totalRNA/data/fastq/bcl2fastq-MiniSeq-Vis_yPAP1/Vis_yPAP1/Vis_yPAP_1B_S2_L001_R2_001.fastq.gz,
Vis_yPAP_1C,/workdir/dwm269/totalRNA/data/fastq/bcl2fastq-MiniSeq-Vis_yPAP1/Vis_yPAP1/Vis_yPAP_1C_S3_L001_R1_001.fastq.gz,/workdir/dwm269/totalRNA/data/fastq/bcl2fastq-MiniSeq-Vis_yPAP1/Vis_yPAP1/Vis_yPAP_1C_S3_L001_R2_001.fastq.gz,
Vis_yPAP_1D,/workdir/dwm269/totalRNA/data/fastq/bcl2fastq-MiniSeq-Vis_yPAP1/Vis_yPAP1/Vis_yPAP_1D_S4_L001_R1_001.fastq.gz,/workdir/dwm269/totalRNA/data/fastq/bcl2fastq-MiniSeq-Vis_yPAP1/Vis_yPAP1/Vis_yPAP_1D_S4_L001_R2_001.fastq.gz,
Vis_yPAP_2A,/workdir/dwm269/totalRNA/data/fastq/bcl2fastq-MiniSeq-Vis_yPAP2/Vis_yPAP_2A/Vis_yPAP_2A_S1_L001_R1_001.fastq.gz,/workdir/dwm269/totalRNA/data/fastq/bcl2fastq-MiniSeq-Vis_yPAP2/Vis_yPAP_2A/Vis_yPAP_2A_S1_L001_R2_001.fastq.gz,
Vis_yPAP_2B,/workdir/dwm269/totalRNA/data/fastq/bcl2fastq-MiniSeq-Vis_yPAP2/Vis_yPAP_2B/Vis_yPAP_2B_S2_L001_R1_001.fastq.gz,/workdir/dwm269/totalRNA/data/fastq/bcl2fastq-MiniSeq-Vis_yPAP2/Vis_yPAP_2B/Vis_yPAP_2B_S2_L001_R2_001.fastq.gz,
Vis_yPAP_2C,/workdir/dwm269/totalRNA/data/fastq/bcl2fastq-MiniSeq-Vis_yPAP2/Vis_yPAP_2C/Vis_yPAP_2C_S3_L001_R1_001.fastq.gz,/workdir/dwm269/totalRNA/data/fastq/bcl2fastq-MiniSeq-Vis_yPAP2/Vis_yPAP_2C/Vis_yPAP_2C_S3_L001_R2_001.fastq.gz,
Vis_yPAP_2D,/workdir/dwm269/totalRNA/data/fastq/bcl2fastq-MiniSeq-Vis_yPAP2/Vis_yPAP_2D/Vis_yPAP_2D_S4_L001_R1_001.fastq.gz,/workdir/dwm269/totalRNA/data/fastq/bcl2fastq-MiniSeq-Vis_yPAP2/Vis_yPAP_2D/Vis_yPAP_2D_S4_L001_R2_001.fastq.gz,
Vis_yPAP_2C_xGen,/workdir/dwm269/totalRNA/data/fastq/Vis_yPAP_2_xGen/Heart_T1L_D7PI_yPAP_xGen_S11_L001_R1_001.fastq.gz,/workdir/dwm269/totalRNA/data/fastq/Vis_yPAP_2_xGen/Heart_T1L_D7PI_yPAP_xGen_S11_L001_R2_001.fastq.gz,
