"tab20b","polychrome","alphabet","alphabet2","ldw29","txg","curio","biorad","primary","colblind_8","cubs","lions","capitals","cornell","futurama_ggsci","rickandmorty_ggsci","simpsons_ggsci","spectral","magma","inferno","plasma","viridis","batlow","cividis","rocket","mako","turbo","RdYlBu","blue_ramp","red_ramp","green_ramp","purple_ramp","orange_ramp","flare","crest","rainbow_adata",,,"gdocs","aurora","subcharizard","subcarvanha"
"#D6616B","#325A9B","#FFA405","#FEAF16","#5C946A",,,,,,,,,,,,"#1A9993FF",,"#752181FF","#7C1D6DFF","#9E199DFF","#306A8EFF","#416E52","#595E6DFF","#871E5BFF","#3F4B90FF","#1DE7B2FF",,,,,,,,,,,,"#db7401",,,
"#E7969C","#C4451C","#FFA8BB","#F8A19F","#82FAA0",,,,,,,,,,,,"#FD8CC1FF",,"#7F2482FF","#86216BFF","#A62098FF","#2D708EFF","#4A714E","#5E626EFF","#921C5BFF","#3D5296FF","#2BEFA0FF",,,,,,,,,,,,"#83110a",,,
"#7B4173","#1C8356","#426600","#90AD1C","#278A4B",,,,,,,,,,,,,,"#882781FF","#902568FF","#AD2792FF","#2B768EFF","#537449","#646670FF","#9D1A5BFF","#3A5A9BFF","#3EF68CFF",,,,,,,,,,,,"#611068",,,
"#A55194","#85660D","#FF0010","#F6222E","#B84B85",,,,,,,,,,,,,,"#932B80FF","#9A2865FF","#B52F8CFF","#287C8EFF","#5C7744","#6A6C71FF","#A7185AFF","#38629DFF","#54FA77FF",,,,,,,,,,,,"#459260",,,
"#CE6DBD","#B10DA1","#5EF1F2","#1CFFCE","#354852",,,,,,,,,,,,,,"#9C2E7FFF","#A32C61FF","#BC3587FF","#26828EFF","#65793F","#6F7073FF","#B21758FF","#36699FFF","#6DFE62FF",,,,,,,,,,,,"#5d73a6",,,
"#DE9ED6","#FBE426","#00998F","#2ED9FF","#FA78FA",,,,,,,,,,,,,,"#A6317DFF","#AD305DFF","#C23C81FF","#24878EFF","#707D39","#747475FF","#BC1656FF","#3670A0FF","#85FF51FF",,,,,,,,,,,,"#433aad",,,
,"#1CBE4F","#E0FF66","#B10DA1","#C85A00",,,,,,,,,,,,,,"#B1357BFF","#B63458FF","#C8437BFF","#228D8DFF","#7A8034","#797977FF","#C61851FF","#3577A2FF","#9AFE41FF",,,,,,,,,,,,,,,
,"#FA0087","#740AFF","#C075A6","#709EB5",,,,,,,,,,,,,,"#BB3978FF","#C03A51FF","#CE4B75FF","#20938CFF","#858231","#807E79FF","#CE1E4EFF","#357EA4FF","#ABFB38FF",,,,,,,,,,,,,,,
,"#FC1CBF","#990000","#FC1CBF","#076594",,,,,,,,,,,,,,"#C53C74FF","#C83F4BFF","#D45270FF","#1F998AFF","#90862E","#858379FF","#D72549FF","#3485A5FF","#BCF534FF",,,,,,,,,,,,,,,
,"#F7E1A0","#FFFF80","#B00068","#826E00",,,,,,,,,,,,,,"#CF4070FF","#D04545FF","#D9586AFF","#1F9F88FF","#9D892D","#8B8779FF","#DE2E44FF","#348CA7FF","#CBED34FF",,,,,,,,,,,,,,,
,"#C075A6","#FFE100","#FBE426","#5078FA",,,,,,,,,,,,,,"#D8456CFF","#D84C3EFF","#DE6065FF","#20A486FF","#AA8C2F","#918C78FF","#E43841FF","#3492A8FF","#DAE436FF",,,,,,,,,,,,,,,
