"sampleID","fastq_R1","fastq_R2","SRR_ID"
"SRR11863135","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863135_1.fastq.gz",,"SRR11863135"
"SRR11863136","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863136_1.fastq.gz",,"SRR11863136"
"SRR11863137","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863137_1.fastq.gz",,"SRR11863137"
"SRR11863138","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863138_1.fastq.gz",,"SRR11863138"
"SRR11863139","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863139_1.fastq.gz",,"SRR11863139"
"SRR11863140","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863140_1.fastq.gz",,"SRR11863140"
"SRR11863141","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863141_1.fastq.gz",,"SRR11863141"
"SRR11863142","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863142_1.fastq.gz",,"SRR11863142"
"SRR11863143","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863143_1.fastq.gz",,"SRR11863143"
"SRR11863144","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863144_1.fastq.gz",,"SRR11863144"
"SRR11863145","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863145_1.fastq.gz",,"SRR11863145"
"SRR11863146","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863146_1.fastq.gz",,"SRR11863146"
"SRR11863147","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863147_1.fastq.gz",,"SRR11863147"
"SRR11863148","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863148_1.fastq.gz",,"SRR11863148"
"SRR11863149","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863149_1.fastq.gz",,"SRR11863149"
"SRR11863150","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863150_1.fastq.gz",,"SRR11863150"
"SRR11863151","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863151_1.fastq.gz",,"SRR11863151"
"SRR11863152","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863152_1.fastq.gz",,"SRR11863152"
"SRR11863153","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863153_1.fastq.gz",,"SRR11863153"
"SRR11863154","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863154_1.fastq.gz",,"SRR11863154"
"SRR11863155","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863155_1.fastq.gz",,"SRR11863155"
"SRR11863156","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863156_1.fastq.gz",,"SRR11863156"
"SRR11863157","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863157_1.fastq.gz",,"SRR11863157"
"SRR11863158","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863158_1.fastq.gz",,"SRR11863158"
"SRR11863159","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863159_1.fastq.gz",,"SRR11863159"
"SRR11863160","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863160_1.fastq.gz",,"SRR11863160"
"SRR11863161","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863161_1.fastq.gz",,"SRR11863161"
"SRR11863162","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863162_1.fastq.gz",,"SRR11863162"
"SRR11863163","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863163_1.fastq.gz",,"SRR11863163"
"SRR11863164","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863164_1.fastq.gz",,"SRR11863164"
"SRR11863165","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863165_1.fastq.gz",,"SRR11863165"
"SRR11863166","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863166_1.fastq.gz",,"SRR11863166"
"SRR11863167","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863167_1.fastq.gz",,"SRR11863167"
"SRR11863168","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863168_1.fastq.gz",,"SRR11863168"
